pole_pairs,n_db_rpm,model_code,power_kw,speed_rpm,cos_phi,efficiency_pct,tmax_over_tdn,tk_over_tdn,extraction_note
2,3000,4A50A2Y3,0.09,2742,0.7,60.0,2.2,2.0,
2,3000,4A50B2Y3,0.12,2710,0.7,63.0,2.2,2.0,
2,3000,4AA56A2Y3,0.18,2760,0.76,66.0,2.2,2.0,
2,3000,4AA63B2Y3,0.25,2760,0.77,68.0,2.2,2.0,
2,3000,4AA63A2Y3,0.37,2750,0.86,70.0,2.2,2.0,
2,3000,4AA63B2Y3,0.55,2745,0.86,73.0,2.2,2.0,
2,3000,4A71A2Y3,0.75,2840,0.87,77.0,2.2,2.0,
2,3000,4A71B2Y3,1.1,2810,0.87,77.5,2.2,2.0,
2,3000,4A80A2Y3,1.5,2850,0.85,81.0,2.2,2.0,
2,3000,4A80B2Y3,2.2,2850,0.87,83.0,2.2,2.0,
2,3000,4A90L2Y3,3.0,2838,0.88,84.5,2.2,2.0,
2,3000,4A100S2Y3,4.0,2880,0.89,86.5,2.2,2.0,
2,3000,4A100L2Y3,5.5,2880,0.91,87.5,2.2,2.0,
2,3000,4A112M2Y3,7.5,2922,0.88,87.5,2.2,2.0,
2,3000,4A132M2Y3,11.0,2907,0.9,88.0,2.2,1.6,
2,3000,4A160S2Y3,15.0,2930,0.91,88.0,2.2,1.4,
2,3000,4A160M2Y3,18.5,2930,0.92,88.5,2.2,1.4,
2,3000,4A180S2Y3,22.0,2940,0.91,88.5,2.2,1.4,
2,3000,4A180M2Y3,30.0,2943,0.92,90.5,2.2,1.4,
2,3000,4A200M2Y3,37.0,2943,0.89,90.0,2.2,1.4,
2,3000,4A200L2Y3,45.0,2946,0.9,91.0,2.2,1.4,
2,3000,4A225M2Y3,55.0,2937,0.92,91.0,2.2,1.2,
2,3000,4A250S2Y3,75.0,2958,0.89,91.0,2.2,1.2,
2,3000,4A250M2Y3,90.0,2958,0.9,92.0,2.2,1.2,
2,3000,4A280S2Y3,110.0,2940,0.89,91.0,2.2,1.2,
2,3000,4A280M2Y3,132.0,2940,0.89,91.5,2.2,1.2,
2,3000,4A315S2Y3,160.0,2943,0.9,92.0,1.9,1.0,
2,3000,4A315M2Y3,200.0,2943,0.9,92.5,1.9,1.0,
2,3000,4A355S2Y3,250.0,2943,0.9,92.5,1.9,1.0,
2,3000,4A355M2Y3,315.0,2940,0.91,93.0,1.9,1.0,
4,1500,4A50A4Y3,0.06,1378,0.6,50.0,2.2,2.0,
4,1500,4A50B4Y3,0.09,1370,0.6,55.0,2.2,2.0,
4,1500,4AA56A4Y3,0.12,1380,0.66,63.0,2.2,2.0,
4,1500,4AA56B4Y3,0.18,1370,0.64,64.0,2.2,2.0,
4,1500,4AA63A4Y3,0.25,1380,0.65,68.0,2.2,2.0,
4,1500,4AA63B4Y3,0.37,1365,0.69,68.0,2.2,2.0,
4,1500,4A71A4Y3,0.55,1370,0.7,70.5,2.2,2.0,
4,1500,4A71B4Y3,0.75,1370,0.73,72.0,2.2,2.0,
4,1500,4A80A4Y3,1.1,1400,0.81,75.0,2.2,2.0,
4,1500,4A80B4Y3,1.5,1400,0.83,77.0,2.2,2.0,
4,1500,4A90L4Y3,2.2,1420,0.83,80.0,2.2,2.0,Trong sách là '4AX90L4Y3'.
4,1500,4A100S4Y3,3.0,1420,0.83,82.0,2.2,2.0,
4,1500,4A100L4Y3,4.0,1420,0.84,84.0,2.2,2.0,
4,1500,4A112M4Y3,5.5,1425,0.85,85.5,2.2,2.0,
4,1500,4A132S4Y3,7.5,1455,0.86,87.5,2.2,2.0,
4,1500,4A132M4Y3,11.0,1458,0.87,87.5,2.2,2.0,
4,1500,4A160S4Y3,15.0,1460,0.88,89.0,2.2,1.4,
4,1500,4A160M4Y3,18.5,1460,0.88,90.0,2.2,1.4,
