source_table,series,model_code,power_kw,speed_rpm,efficiency_pct,cos_phi,tk_over_tdn,tmax_over_tdn
P1.1,K,K90S2,0.75,2845,77.5,0.87,1.9,
P1.1,K,K90L2,1.1,2850,78.5,0.87,2.4,
P1.1,K,K100L2,1.5,2860,79.5,0.87,2.5,
P1.1,K,K112S2,2.2,2880,82.0,0.88,2.7,
P1.1,K,K112M2,3.0,2890,83.5,0.9,2.5,
P1.1,K,K132S2,4.0,2890,84.5,0.9,2.5,
P1.1,K,K132M2,5.5,2900,85.0,0.93,2.2,
P1.1,K,K160S2,7.5,2935,86.0,0.93,2.2,
P1.1,K,K160M2,11.0,2935,87.0,0.9,2.1,
P1.1,K,K160L2,15.0,2950,87.0,0.9,2.1,
P1.1,K,K180L2,18.5,2950,87.0,0.9,2.2,
P1.1,K,K200M2,22.0,2950,87.0,0.9,2.1,
P1.1,K,K200L2,30.0,2950,88.0,0.91,2.1,
P1.1,K,K90S4,0.75,1420,73.5,0.76,2.1,
P1.1,K,K90L4,1.1,1420,77.0,0.78,2.3,
P1.1,K,K100L4,1.5,1425,79.0,0.8,2.3,
P1.1,K,K112S4,2.2,1440,81.5,0.82,2.2,
P1.1,K,K112M4,3.0,1445,82.0,0.83,2.0,
P1.1,K,K132S4,4.0,1445,85.0,0.83,2.0,
P1.1,K,K132M4,5.5,1445,86.0,0.86,2.0,
P1.1,K,K160S4,7.5,1450,87.5,0.86,2.2,
P1.1,K,K160M4,11.0,1450,87.5,0.87,1.6,
P1.1,K,K180M4,15.0,1450,87.5,0.87,1.6,
P1.1,K,K180L4,18.5,1455,88.0,0.88,2.0,
P1.1,K,K200M4,22.0,1475,89.0,0.89,2.0,
P1.1,K,K200L4,30.0,1475,89.0,0.89,2.0,
P1.2,DK,DK31-2,0.6,2860,,0.85,2.0,2.4
P1.2,DK,DK32-2,1.0,2850,,0.86,2.0,2.2
P1.2,DK,DK41-2,1.7,2880,,0.87,1.8,2.4
P1.2,DK,DK42-2,2.8,2880,,0.88,1.9,2.5
P1.2,DK,DK51-2,4.5,2900,,0.88,1.6,2.4
P1.2,DK,DK52-2,7.0,2900,,0.89,1.7,2.5
P1.2,DK,DK62-2,10.0,2930,,0.89,1.3,2.5
P1.2,DK,DK63-2,14.0,2930,,0.9,1.5,2.9
P1.2,DK,DK82-2,33.0,2935,,0.91,1.1,2.5
P1.2,DK,DK31-4,0.6,1410,,0.76,1.8,1.8
P1.2,DK,DK32-4,1.0,1400,,0.79,1.8,2.0
P1.2,DK,DK41-4,1.7,1420,,0.82,1.8,2.0
P1.2,DK,DK42-4,2.8,1420,,0.84,1.9,2.0
P1.2,DK,DK51-4,4.5,1440,,0.85,1.4,2.0
