pole_pairs,n_db_rpm,model_code,power_kw,speed_rpm,cos_phi,tk_over_tdn,tmax_over_tdn,gd2_rotor_kgm2,mass_kg,extraction_note
2,3000,DK31-2,0.6,2860,0.85,2.0,2.4,0.01,24,
2,3000,DK32-2,1.0,2850,0.86,2.0,2.2,0.016,27,
2,3000,DK41-2,1.7,2880,0.87,1.8,2.4,0.03,39,
2,3000,DK42-2,2.8,2880,0.88,1.9,2.5,0.04,47,
2,3000,DK51-2,4.5,2900,0.88,1.6,2.4,0.12,84,
2,3000,DK52-2,7.0,2900,0.89,1.7,2.5,0.17,104,
2,3000,DK62-2,10.0,2930,0.89,1.3,2.5,0.41,170,
2,3000,DK63-2,14.0,2930,0.9,1.5,2.9,0.5,190,
2,3000,DK82-2,33.0,2935,0.91,1.1,2.5,1.8,477,
4,1500,DK31-4,0.6,1410,0.76,1.8,1.8,0.015,24,
4,1500,DK32-4,1.0,1400,0.79,1.8,2.0,0.021,27,
4,1500,DK41-4,1.7,1420,0.82,1.8,2.0,0.048,39,
4,1500,DK42-4,2.8,1420,0.84,1.9,2.0,0.067,47,
4,1500,DK51-4,4.5,1440,0.85,1.4,2.0,0.2,84,
4,1500,DK52-4,7.0,1440,0.85,1.5,2.0,0.28,104,
4,1500,DK62-4,10.0,1460,0.88,1.3,2.3,0.6,170,
4,1500,DK63-4,14.0,1460,0.88,1.4,2.3,0.75,190,
4,1500,DK72-4,20.0,1460,0.88,1.3,2.3,1.5,280,
4,1500,DK73-4,28.0,1460,0.88,1.4,2.3,1.9,310,
6,1000,DK32-6,0.6,930,0.69,1.2,1.9,0.02,27,
6,1000,DK41-6,1.0,930,0.72,1.3,1.8,0.048,39,
6,1000,DK42-6,1.7,930,0.75,1.4,1.8,0.067,47,
6,1000,DK51-6,2.8,950,0.78,1.3,1.8,0.2,84,
6,1000,DK52-6,4.5,950,0.8,1.5,1.8,0.28,104,
6,1000,DK62-6,7.0,960,0.81,1.4,2.2,0.6,170,
6,1000,DK63-6,10.0,960,0.82,1.4,2.2,0.75,190,
6,1000,DK72-6,14.0,980,0.83,1.4,2.2,2.3,280,
6,1000,DK73-6,20.0,975,0.84,1.4,2.2,3.0,310,
6,1000,DK83-6,33.0,980,0.88,1.4,2.4,5.7,540,
6,1000,DK84-6,40.0,980,0.86,1.5,2.2,6.5,590,
8,750,DK73-8,14.0,730,0.81,1.3,2.0,3.0,310,
8,750,DK82-8,22.0,730,0.85,1.4,2.0,5.0,450,
8,750,DK83-8,30.0,730,0.83,1.4,2.0,6.5,830,
8,750,DK94-8,55.0,735,0.85,1.8,2.0,14.0,950,
8,750,DK103-8,75.0,735,0.85,1.3,2.4,26.0,1240,
